Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_QuadPFJet105_88_76_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,370,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.44082255105201706
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_OneProng_M5to80,362,27.2,27.2,Tau,83934,0.43129125265089235
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10,346,21.0,21.0,"JetMET[0,1]",83934,0.412228655848643
HLT_HT430_DelayedJet40_SingleDelay1To1p5nsInclusive,338,3.4,3.4,ParkingLLP,83934,0.4026973574475183
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,326,9.5,9.5,ParkingVBF[0-7],83934,0.38840040984583124
HLT_PFHT700_PFMET85_PFMHT85_IDTight,306,27.2,27.2,"JetMET[0,1]",83934,0.3645721638430195
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_TriplePFJet,300,9.5,9.5,ParkingVBF[0-7],83934,0.357423690042176
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06,300,21.0,21.0,"JetMET[0,1]",83934,0.357423690042176
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,292,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.3478923916410513
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,284,27.2,27.2,"EGamma[0,1]",83934,0.33836109323992664
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,278,27.2,27.2,"EGamma[0,1]",83934,0.3312126194390831
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1,278,27.2,27.2,Tau,83934,0.3312126194390831
HLT_AK8PFJet420_MassSD30,272,27.2,27.2,"JetMET[0,1]",83934,0.32406414563823954
HLT_HT430_DelayedJet40_SingleDelay1p1To1p6nsInclusive,270,3.4,3.4,ParkingLLP,83934,0.3216813210379584
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10,258,21.0,21.0,"JetMET[0,1]",83934,0.30738437343627134
HLT_PFHT400_FivePFJet_100_100_60_30_30_DoublePFBTagDeepJet_4p5,256,27.2,27.2,"JetMET[0,1], ParkingHH",83934,0.3050015488359902
HLT_HT650_DisplacedDijet60_Inclusive,220,27.2,27.2,"DisplacedJet, ParkingLLP",83934,0.26211070603092906
HLT_AK8PFJet450_MassSD30,206,27.2,27.2,"JetMET[0,1]",83934,0.24543093382896086
HLT_PFHT800_PFMET75_PFMHT75_IDTight,204,27.2,27.2,"JetMET[0,1]",83934,0.24304810922867967
HLT_HT430_DelayedJet40_SingleDelay1p25To1p75nsInclusive,196,21.0,21.0,ParkingLLP,83934,0.233516810827555
HLT_HT430_DisplacedDijet40_DisplacedTrack,172,27.2,27.2,"DisplacedJet, ParkingLLP",83934,0.2049229156241809
HLT_AK8PFJet470_MassSD30,160,27.2,27.2,"JetMET[0,1]",83934,0.19062596802249387
HLT_PFHT400_FivePFJet_120_120_60_30_30_DoublePFBTagDeepJet_4p5,158,27.2,27.2,"JetMET[0,1], ParkingHH",83934,0.18824314342221268
HLT_PFHT400_SixPFJet32_DoublePFBTagDeepJet_2p94,150,17.6,17.6,"JetMET[0,1], ParkingHH",83934,0.178711845021088
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless,148,27.2,27.2,DisplacedJet,83934,0.17632902042080684
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5,140,27.2,27.2,"JetMET[0,1], ParkingHH",83934,0.16679772201968213
HLT_AK8PFJet500,138,27.2,27.2,"JetMET[0,1]",83934,0.16441489741940096
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70,132,27.2,27.2,"JetMET[0,1], ParkingHH",83934,0.15726642361855744
HLT_AK8DiPFJet270_270_MassSD30,126,27.2,27.2,"JetMET[0,1]",83934,0.15011794981771392
HLT_AK8DiPFJet250_250_MassSD50,122,27.2,27.2,"JetMET[0,1]",83934,0.14535230061715157
HLT_AK8PFJet500_MassSD30,122,27.2,27.2,"JetMET[0,1]",83934,0.14535230061715157
HLT_PFHT450_SixPFJet36_PNetBTag0p35,122,9.5,9.5,ParkingHH,83934,0.14535230061715157
HLT_PFHT450_SixPFJet36_PFBTagDeepJet_1p59,120,17.6,17.6,"JetMET[0,1], ParkingHH",83934,0.1429694760168704
HLT_CaloJet500_NoJetID,118,27.2,27.2,"JetMET[0,1]",83934,0.14058665141658921
HLT_PFJet500,118,27.2,27.2,"JetMET[0,1]",83934,0.14058665141658921
HLT_AK8PFJet425_SoftDropMass40,114,27.2,27.2,"JetMET[0,1]",83934,0.1358210022160269
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,112,27.2,27.2,DisplacedJet,83934,0.1334381776157457
HLT_DoubleEle4_eta1p22_mMax6,112,2.8,2.8,ParkingDoubleElectronLowMass,83934,0.1334381776157457
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight,110,27.2,27.2,"Muon[0,1]",83934,0.13105535301546453
HLT_AK8DiPFJet260_260_MassSD50,110,27.2,27.2,"JetMET[0,1]",83934,0.13105535301546453
HLT_AK8DiPFJet280_280_MassSD30,108,27.2,27.2,"JetMET[0,1]",83934,0.12867252841518337
HLT_DoubleEle4p5_eta1p22_mMax6,106,5.9,5.9,ParkingDoubleElectronLowMass,83934,0.12628970381490218
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165,102,27.2,27.2,"EGamma[0,1]",83934,0.12152405461433984
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight,94,27.2,27.2,"Muon[0,1]",83934,0.11199275621321514
HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,94,27.2,27.2,DisplacedJet,83934,0.11199275621321514
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight,92,27.2,27.2,"Muon[0,1]",83934,0.10960993161293398
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId,92,27.2,27.2,"EGamma[0,1]",83934,0.10960993161293398
HLT_Ele115_CaloIdVT_GsfTrkIdT,88,27.2,27.2,"EGamma[0,1]",83934,0.10484428241237162
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50,88,9.5,9.5,ParkingHH,83934,0.10484428241237162
HLT_AK8PFJet450_SoftDropMass40,88,27.2,27.2,"JetMET[0,1]",83934,0.10484428241237162
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless,88,27.2,27.2,DisplacedJet,83934,0.10484428241237162
HLT_Mu4_TrkIsoVVL_DiPFJet90_40_DEta3p5_MJJ750_HTT300_PFMETNoMu60,86,27.2,27.2,"Muon[0,1], ParkingVBF[0-7]",83934,0.10246145781209046
HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive,82,9.5,9.5,ParkingLLP,83934,0.0976958086115281
HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,80,27.2,27.2,DisplacedJet,83934,0.09531298401124694
HLT_HT430_DelayedJet40_SingleDelay1p25nsTrackless,78,9.5,9.5,DisplacedJet,83934,0.09293015941096576
HLT_AK8DiPFJet290_290_MassSD30,78,27.2,27.2,"JetMET[0,1]",83934,0.09293015941096576
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_Mass55,78,27.2,27.2,"EGamma[0,1]",83934,0.09293015941096576
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive,78,27.2,27.2,DisplacedJet,83934,0.09293015941096576
HLT_DoubleEle5p5_eta1p22_mMax6,70,14.0,14.0,ParkingDoubleElectronLowMass,83934,0.08339886100984106
HLT_DoubleEle4_eta1p22_mMax6_trkHits10,70,2.5,2.5,ParkingDoubleElectronLowMass,83934,0.08339886100984106
HLT_AK8PFJet550,68,27.2,27.2,"JetMET[0,1]",83934,0.08101603640955989
HLT_Ele135_CaloIdVT_GsfTrkIdT,66,27.2,27.2,"EGamma[0,1]",83934,0.07863321180927872
HLT_PFHT1050,66,27.2,27.2,"JetMET[0,1]",83934,0.07863321180927872
