Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets
HLT_DoubleEle4p5_eta1p22_mMax6_trkHits10,54,5.2,5.2,ParkingDoubleElectronLowMass
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1,54,27.2,27.2,Tau
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,53,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_DoubleEle5_eta1p22_mMax6_trkHits10,50,11.0,11.0,ParkingDoubleElectronLowMass
HLT_Ele40_WPTight_Gsf,49,27.2,27.2,"EGamma[0,1]"
HLT_HT430_DelayedJet40_SingleDelay1p25To1p75nsInclusive,47,21.0,21.0,ParkingLLP
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50,47,21.0,21.0,"JetMET[0,1]"
HLT_DoubleEle4_eta1p22_mMax6_dz0p8,46,5.0,5.0,ParkingDoubleElectronLowMass
HLT_Ele28_eta2p1_WPTight_Gsf_HT150,46,27.2,27.2,"EGamma[0,1]"
HLT_DoubleEle5p5_eta1p22_mMax6_trkHits10,45,11.9,11.9,ParkingDoubleElectronLowMass
HLT_DoubleEle4p5_eta1p22_mMax6_dz0p8,45,8.6,8.6,ParkingDoubleElectronLowMass
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,44,27.2,27.2,"EGamma[0,1]"
HLT_BTagMu_AK4Jet300_Mu5,43,27.2,27.2,BTagMu
HLT_DoubleEle6_eta1p22_mMax6_trkHits10,42,13.2,13.2,ParkingDoubleElectronLowMass
HLT_DoubleEle5_eta1p22_mMax6_dz0p8,40,16.6,16.6,ParkingDoubleElectronLowMass
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,39,27.2,27.2,"EGamma[0,1]"
HLT_PFHT450_SixPFJet36_PFBTagDeepJet_1p59,38,17.6,17.6,"JetMET[0,1], ParkingHH"
HLT_QuadPFJet103_88_75_15_PFBTagDeepJet_1p3_VBF2,37,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_Ele115_CaloIdVT_GsfTrkIdT,36,27.2,27.2,"EGamma[0,1]"
HLT_HT430_DisplacedDijet40_DisplacedTrack,36,27.2,27.2,"DisplacedJet, ParkingLLP"
HLT_PFHT450_SixPFJet36_PNetBTag0p35,36,9.5,9.5,ParkingHH
HLT_DoubleEle5p5_eta1p22_mMax6_dz0p8,36,17.9,17.9,ParkingDoubleElectronLowMass
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53,36,21.0,21.0,"JetMET[0,1]"
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,35,27.2,27.2,"EGamma[0,1]"
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless,35,27.2,27.2,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless,35,27.2,27.2,DisplacedJet
HLT_DoubleEle6_eta1p22_mMax6_dz0p8,35,19.3,19.3,ParkingDoubleElectronLowMass
HLT_QuadPFJet105_88_76_15_PFBTagDeepJet_1p3_VBF2,35,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight,35,27.2,27.2,"Muon[0,1]"
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,34,21.0,21.0,ParkingVBF[0-7]
HLT_QuadPFJet111_90_80_15_PFBTagDeepJet_1p3_VBF2,33,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_PFHT400_SixPFJet32_DoublePFBTagDeepJet_2p94,33,17.6,17.6,"JetMET[0,1], ParkingHH"
HLT_PFMET300_NotCleaned,33,27.2,27.2,"JetMET[0,1]"
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,31,9.5,9.5,ParkingVBF[0-7]
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55,31,21.0,21.0,"JetMET[0,1]"
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_TriplePFJet,31,9.5,9.5,ParkingVBF[0-7]
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_TriplePFJet,30,20.8,20.8,ParkingVBF[0-7]
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5,30,27.2,27.2,"JetMET[0,1], ParkingHH"
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight,30,27.2,27.2,"Muon[0,1]"
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70,28,27.2,27.2,"JetMET[0,1], ParkingHH"
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight,28,27.2,27.2,"Muon[0,1]"
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_TriplePFJet,28,9.5,9.5,ParkingVBF[0-7]
HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive,27,9.5,9.5,ParkingLLP
HLT_Ele15_IsoVVVL_PFHT450,26,27.2,27.2,"EGamma[0,1]"
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40,26,27.2,27.2,"EGamma[0,1]"
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40,25,27.2,27.2,"EGamma[0,1]"
HLT_Ele135_CaloIdVT_GsfTrkIdT,24,27.2,27.2,"EGamma[0,1]"
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,24,27.2,27.2,DisplacedJet
HLT_CaloMET350_NotCleaned,23,27.2,27.2,"JetMET[0,1]"
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ,22,27.2,27.2,"EGamma[0,1]"
HLT_ECALHT800,19,27.2,27.2,"EGamma[0,1]"
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive,19,27.2,27.2,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1p25nsTrackless,17,9.5,9.5,DisplacedJet
HLT_Ele15_IsoVVVL_PFHT450_PFMET50,17,27.2,27.2,"EGamma[0,1]"
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60,16,21.0,21.0,"JetMET[0,1]"
HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,16,27.2,27.2,DisplacedJet
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40_PNetBB0p06,15,21.0,21.0,"EGamma[0,1]"
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50,15,9.5,9.5,ParkingHH
HLT_Ele24_eta2p1_WPTight_Gsf_LooseDeepTauPFTauHPS30_eta2p1_CrossL1,15,27.2,27.2,"EGamma[0,1]"
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p06,15,21.0,21.0,"EGamma[0,1]"
HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,13,27.2,27.2,DisplacedJet
HLT_DoubleEle25_CaloIdL_MW,13,27.2,27.2,"EGamma[0,1]"
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p10,13,21.0,21.0,"EGamma[0,1]"
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose,13,27.2,27.2,DisplacedJet
HLT_Ele50_IsoVVVL_PFHT450,13,27.2,27.2,"EGamma[0,1]"
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350,12,27.2,27.2,"EGamma[0,1]"
HLT_DoubleEle27_CaloIdL_MW,12,27.2,27.2,"EGamma[0,1]"
HLT_Ele15_IsoVVVL_PFHT600,12,27.2,27.2,"EGamma[0,1]"
HLT_CaloMET60_DTClusterNoMB1S50,11,27.2,27.2,DisplacedJet
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive,11,27.2,27.2,DisplacedJet
HLT_L1MET_DTClusterNoMB1S50,11,27.2,27.2,DisplacedJet
