Trigger_Name,Actual_lumi,Effective_lumi,First_run,Last_run,datasets
HLT_QuadPFJet111_90_80_30_v,21,0.082,367661,370790,"JetMET[0,1]"
HLT_QuadPFJet111_90_80_30_PNet1CvsAll0p6_VBF3Tight_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet111_90_80_15_v,27.2,0.053,366403,370790,"JetMET[0,1]"
HLT_QuadPFJet111_90_80_15_PFBTagDeepJet_1p3_VBF2_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepJet_1p3_7p7_VBF1_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet105_88_76_15_v,27.2,0.053,366403,370790,"JetMET[0,1]"
HLT_QuadPFJet105_88_76_15_PFBTagDeepJet_1p3_VBF2_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet105_88_76_15_DoublePFBTagDeepJet_1p3_7p7_VBF1_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet105_88_75_30_v,21,0.082,367661,370790,"JetMET[0,1]"
HLT_QuadPFJet105_88_75_30_PNet1CvsAll0p5_VBF3Tight_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet103_88_75_15_v,27.2,0.11,366403,370790,"JetMET[0,1]"
HLT_QuadPFJet103_88_75_15_PFBTagDeepJet_1p3_VBF2_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepJet_1p3_7p7_VBF1_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_QuadPFJet100_88_70_30_v,27.2,0.11,366403,370790,"JetMET[0,1]"
HLT_QuadPFJet100_88_70_30_PNet1CvsAll0p5_VBF3Tight_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_PixelClusters_WP2_v,0,0,365753,366035,"ExpressAlignment, ExpressPhysics"
HLT_PixelClusters_WP1_v,0,0,365753,366035,ExpressPhysics
HLT_Physics_v,27.2,0.54,365753,370790,"ExpressPhysics, HLTPhysics"
HLT_Photon90EB_TightID_TightIso_v,27.2,2.3,366403,370790,"EGamma[0,1]"
HLT_Photon90_v,27.2,0.053,366403,370790,"EGamma[0,1]"
HLT_Photon90_R9Id90_HE10_IsoM_v,27.2,0.85,366403,370790,"EGamma[0,1]"
HLT_Photon75EB_TightID_TightIso_v,27.2,1.1,366403,370790,"EGamma[0,1]"
HLT_Photon75_v,27.2,0.053,366403,370790,"EGamma[0,1]"
HLT_Photon75_R9Id90_HE10_IsoM_v,27.2,0.42,366403,370790,"EGamma[0,1]"
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon60_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v,21,21,367661,370790,"EGamma[0,1]"
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT400_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT380_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon50EB_TightID_TightIso_v,27.2,0.57,366403,370790,"EGamma[0,1]"
HLT_Photon50_v,27.2,0.0044,366403,370790,"EGamma[0,1]"
HLT_Photon50_TimeLtNeg2p5ns_v,21,0.84,367661,370790,"EGamma[0,1]"
HLT_Photon50_TimeGt2p5ns_v,21,4.2,367661,370790,"EGamma[0,1]"
HLT_Photon50_R9Id90_HE10_IsoM_v,27.2,0.11,366403,370790,"EGamma[0,1]"
HLT_Photon35_TwoProngs35_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon33_v,27.2,0.0011,366403,370790,"EGamma[0,1]"
HLT_Photon32_OneProng32_M50To105_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon30EB_TightID_TightIso_v,27.2,0.18,366403,370790,"EGamma[0,1]"
HLT_Photon300_NoHE_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon30_HoverELoose_v,27.2,0.0047,366403,370790,"EGamma[0,1]"
HLT_Photon200EB_TightID_TightIso_v,27.2,27.2,366403,370790,"EGamma[0,1]"
