Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40,17,27.2,27.2,"EGamma[0,1]",62717,0.027105888355629257
HLT_DoubleEle4p5_eta1p22_mMax6_trkHits10,16,5.2,5.2,ParkingDoubleElectronLowMass,62717,0.025511424334709886
HLT_HT430_DelayedJet40_SingleDelay1p5nsTrackless,15,9.5,9.5,DisplacedJet,62717,0.02391696031379052
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned,14,27.2,27.2,"EGamma[0,1]",62717,0.02232249629287115
HLT_DoubleEle5p5_eta1p22_mMax6,14,14.0,14.0,ParkingDoubleElectronLowMass,62717,0.02232249629287115
HLT_Ele35_WPTight_Gsf,14,27.2,27.2,"EGamma[0,1]",62717,0.02232249629287115
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose,13,27.2,27.2,DisplacedJet,62717,0.020728032271951784
HLT_CaloMET350_NotCleaned,13,27.2,27.2,"JetMET[0,1]",62717,0.020728032271951784
HLT_DoubleEle5_eta1p22_mMax6_trkHits10,13,11.0,11.0,ParkingDoubleElectronLowMass,62717,0.020728032271951784
HLT_ECALHT800,12,27.2,27.2,"EGamma[0,1]",62717,0.019133568251032417
HLT_DoubleMu4_3_LowMass,12,27.2,27.2,ParkingDoubleMuonLowMass[0-7],62717,0.019133568251032417
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive,12,27.2,27.2,DisplacedJet,62717,0.019133568251032417
HLT_DoubleEle6_eta1p22_mMax6,12,15.3,15.3,ParkingDoubleElectronLowMass,62717,0.019133568251032417
HLT_DoubleEle4_eta1p22_mMax6_dz0p8,12,5.0,5.0,ParkingDoubleElectronLowMass,62717,0.019133568251032417
HLT_HT430_DelayedJet40_SingleDelay2nsInclusive,12,27.2,27.2,DisplacedJet,62717,0.019133568251032417
HLT_Ele38_WPTight_Gsf,12,27.2,27.2,"EGamma[0,1]",62717,0.019133568251032417
HLT_Ele40_WPTight_Gsf,12,27.2,27.2,"EGamma[0,1]",62717,0.019133568251032417
HLT_DoubleEle4p5_eta1p22_mMax6_dz0p8,11,8.6,8.6,ParkingDoubleElectronLowMass,62717,0.017539104230113046
HLT_TripleJet110_35_35_Mjj650_PFMET120,11,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.017539104230113046
HLT_TripleJet110_35_35_Mjj650_PFMET110,11,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.017539104230113046
HLT_L1Tau_DelayedJet40_SingleDelay2p75To4nsInclusive,11,9.2,9.2,ParkingLLP,62717,0.017539104230113046
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5,11,27.2,27.2,DisplacedJet,62717,0.017539104230113046
