Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_AK8DiPFJet290_290_MassSD30,135,27.2,27.2,"JetMET[0,1]",63919,0.21120480608269843
HLT_AK8DiPFJet250_250_MassSD50,134,27.2,27.2,"JetMET[0,1]",63919,0.20964032603764138
HLT_AK8PFJet550,130,27.2,27.2,"JetMET[0,1]",63919,0.2033824058574133
HLT_AK8DiPFJet260_260_MassSD50,127,27.2,27.2,"JetMET[0,1]",63919,0.1986889657222422
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_Mass55,125,27.2,27.2,"EGamma[0,1]",63919,0.19556000563212816
HLT_PFHT1050,125,27.2,27.2,"JetMET[0,1]",63919,0.19556000563212816
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p55,124,21.0,21.0,ParkingHH,63919,0.19399552558707114
HLT_AK8PFJet450_SoftDropMass40,123,27.2,27.2,"JetMET[0,1]",63919,0.19243104554201412
HLT_Diphoton22_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,118,27.2,27.2,"EGamma[0,1]",63919,0.184608645316729
HLT_CaloJet550_NoJetID,115,27.2,27.2,"JetMET[0,1]",63919,0.1799152051815579
HLT_HT430_DelayedJet40_SingleDelay1To1p5nsInclusive,111,3.4,3.4,ParkingLLP,63919,0.17365728500132982
HLT_PFJet550,109,27.2,27.2,"JetMET[0,1]",63919,0.17052832491121575
HLT_Ele30_WPTight_Gsf,105,27.2,27.2,"EGamma[0,1]",63919,0.16427040473098767
HLT_Diphoton24_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,104,27.2,27.2,"EGamma[0,1]",63919,0.16270592468593062
HLT_HT650_DisplacedDijet60_Inclusive,101,27.2,27.2,"DisplacedJet, ParkingLLP",63919,0.15801248455075956
HLT_DoubleEle4_eta1p22_mMax6,94,2.8,2.8,ParkingDoubleElectronLowMass,63919,0.14706112423536039
HLT_QuadPFJet100_88_70_30_PNet1CvsAll0p5_VBF3Tight,92,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.14393216414524632
HLT_Ele32_WPTight_Gsf_L1DoubleEG,91,27.2,27.2,"EGamma[0,1]",63919,0.1423676841001893
HLT_Ele32_WPTight_Gsf,91,27.2,27.2,"EGamma[0,1]",63919,0.1423676841001893
HLT_Diphoton24_16_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,90,27.2,27.2,"EGamma[0,1]",63919,0.14080320405513227
HLT_HT430_DelayedJet40_SingleDelay1p1To1p6nsInclusive,85,3.4,3.4,ParkingLLP,63919,0.13298080382984714
HLT_VBF_DoubleMediumDeepTauPFTauHPS20_eta2p1,84,27.2,27.2,"ParkingVBF[0-7], Tau",63919,0.13141632378479012
HLT_PFHT400_FivePFJet_100_100_60_30_30_DoublePFBTagDeepJet_4p5,84,27.2,27.2,"JetMET[0,1], ParkingHH",63919,0.13141632378479012
HLT_DoubleEle4p5_eta1p22_mMax6,83,5.9,5.9,ParkingDoubleElectronLowMass,63919,0.1298518437397331
HLT_QuadPFJet105_88_75_30_PNet1CvsAll0p5_VBF3Tight,82,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.12828736369467608
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p60,78,21.0,21.0,ParkingHH,63919,0.12202944351444797
HLT_Ele35_WPTight_Gsf,74,27.2,27.2,"EGamma[0,1]",63919,0.11577152333421988
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG,73,27.2,27.2,"EGamma[0,1]",63919,0.11420704328916284
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned,72,27.2,27.2,"EGamma[0,1]",63919,0.11264256324410582
HLT_PFMET250_NotCleaned,67,27.2,27.2,"JetMET[0,1]",63919,0.10482016301882069
HLT_DoubleEle5p5_eta1p22_mMax6,64,14.0,14.0,ParkingDoubleElectronLowMass,63919,0.10012672288364961
HLT_PFHT400_FivePFJet_120_120_60_30_30_DoublePFBTagDeepJet_4p5,62,27.2,27.2,"JetMET[0,1], ParkingHH",63919,0.09699776279353557
HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,61,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.09543328274847854
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0_TriplePFJet,61,1.7,1.7,ParkingVBF[0-7],63919,0.09543328274847854
HLT_DoubleEle4_eta1p22_mMax6_trkHits10,59,2.5,2.5,ParkingDoubleElectronLowMass,63919,0.0923043226583645
HLT_QuadPFJet111_90_80_30_PNet1CvsAll0p6_VBF3Tight,59,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.0923043226583645
HLT_DoubleEle6_eta1p22_mMax6,58,15.3,15.3,ParkingDoubleElectronLowMass,63919,0.09073984261330746
HLT_QuadPFJet105_88_76_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,58,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.09073984261330746
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165,57,27.2,27.2,"EGamma[0,1]",63919,0.08917536256825044
HLT_Ele38_WPTight_Gsf,56,27.2,27.2,"EGamma[0,1]",63919,0.08761088252319342
HLT_PFHT280_QuadPFJet35_PNet2BTagMean0p60,56,21.0,21.0,ParkingHH,63919,0.08761088252319342
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1,54,27.2,27.2,Tau,63919,0.08448192243307936
HLT_DoubleEle4p5_eta1p22_mMax6_trkHits10,54,5.2,5.2,ParkingDoubleElectronLowMass,63919,0.08448192243307936
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,53,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.08291744238802234
HLT_DoubleEle5_eta1p22_mMax6_trkHits10,50,11.0,11.0,ParkingDoubleElectronLowMass,63919,0.07822400225285127
HLT_Ele40_WPTight_Gsf,49,27.2,27.2,"EGamma[0,1]",63919,0.07665952220779423
HLT_HT430_DelayedJet40_SingleDelay1p25To1p75nsInclusive,47,21.0,21.0,ParkingLLP,63919,0.07353056211768019
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50,47,21.0,21.0,"JetMET[0,1]",63919,0.07353056211768019
HLT_Ele28_eta2p1_WPTight_Gsf_HT150,46,27.2,27.2,"EGamma[0,1]",63919,0.07196608207262316
HLT_DoubleEle4_eta1p22_mMax6_dz0p8,46,5.0,5.0,ParkingDoubleElectronLowMass,63919,0.07196608207262316
HLT_DoubleEle4p5_eta1p22_mMax6_dz0p8,45,8.6,8.6,ParkingDoubleElectronLowMass,63919,0.07040160202756614
HLT_DoubleEle5p5_eta1p22_mMax6_trkHits10,45,11.9,11.9,ParkingDoubleElectronLowMass,63919,0.07040160202756614
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,44,27.2,27.2,"EGamma[0,1]",63919,0.06883712198250912
HLT_BTagMu_AK4Jet300_Mu5,43,27.2,27.2,BTagMu,63919,0.06727264193745208
HLT_DoubleEle6_eta1p22_mMax6_trkHits10,42,13.2,13.2,ParkingDoubleElectronLowMass,63919,0.06570816189239506
HLT_DoubleEle5_eta1p22_mMax6_dz0p8,40,16.6,16.6,ParkingDoubleElectronLowMass,63919,0.062579201802281
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,39,27.2,27.2,"EGamma[0,1]",63919,0.061014721757223986
HLT_PFHT450_SixPFJet36_PFBTagDeepJet_1p59,38,17.6,17.6,"JetMET[0,1], ParkingHH",63919,0.05945024171216696
HLT_QuadPFJet103_88_75_15_PFBTagDeepJet_1p3_VBF2,37,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.05788576166710994
HLT_PFHT450_SixPFJet36_PNetBTag0p35,36,9.5,9.5,ParkingHH,63919,0.05632128162205291
HLT_DoubleEle5p5_eta1p22_mMax6_dz0p8,36,17.9,17.9,ParkingDoubleElectronLowMass,63919,0.05632128162205291
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53,36,21.0,21.0,"JetMET[0,1]",63919,0.05632128162205291
HLT_HT430_DisplacedDijet40_DisplacedTrack,36,27.2,27.2,"DisplacedJet, ParkingLLP",63919,0.05632128162205291
HLT_Ele115_CaloIdVT_GsfTrkIdT,36,27.2,27.2,"EGamma[0,1]",63919,0.05632128162205291
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless,35,27.2,27.2,DisplacedJet,63919,0.05475680157699588
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless,35,27.2,27.2,DisplacedJet,63919,0.05475680157699588
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL,35,27.2,27.2,"EGamma[0,1]",63919,0.05475680157699588
HLT_QuadPFJet105_88_76_15_PFBTagDeepJet_1p3_VBF2,35,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.05475680157699588
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight,35,27.2,27.2,"Muon[0,1]",63919,0.05475680157699588
HLT_DoubleEle6_eta1p22_mMax6_dz0p8,35,19.3,19.3,ParkingDoubleElectronLowMass,63919,0.05475680157699588
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,34,21.0,21.0,ParkingVBF[0-7],63919,0.05319232153193886
HLT_PFHT400_SixPFJet32_DoublePFBTagDeepJet_2p94,33,17.6,17.6,"JetMET[0,1], ParkingHH",63919,0.051627841486881834
HLT_PFMET300_NotCleaned,33,27.2,27.2,"JetMET[0,1]",63919,0.051627841486881834
HLT_QuadPFJet111_90_80_15_PFBTagDeepJet_1p3_VBF2,33,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.051627841486881834
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55,31,21.0,21.0,"JetMET[0,1]",63919,0.048498881396767786
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,31,9.5,9.5,ParkingVBF[0-7],63919,0.048498881396767786
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_TriplePFJet,31,9.5,9.5,ParkingVBF[0-7],63919,0.048498881396767786
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight,30,27.2,27.2,"Muon[0,1]",63919,0.04693440135171076
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_TriplePFJet,30,20.8,20.8,ParkingVBF[0-7],63919,0.04693440135171076
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5,30,27.2,27.2,"JetMET[0,1], ParkingHH",63919,0.04693440135171076
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_TriplePFJet,28,9.5,9.5,ParkingVBF[0-7],63919,0.04380544126159671
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight,28,27.2,27.2,"Muon[0,1]",63919,0.04380544126159671
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70,28,27.2,27.2,"JetMET[0,1], ParkingHH",63919,0.04380544126159671
HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive,27,9.5,9.5,ParkingLLP,63919,0.04224096121653968
HLT_Ele15_IsoVVVL_PFHT450,26,27.2,27.2,"EGamma[0,1]",63919,0.040676481171482655
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40,26,27.2,27.2,"EGamma[0,1]",63919,0.040676481171482655
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40,25,27.2,27.2,"EGamma[0,1]",63919,0.039112001126425634
HLT_Ele135_CaloIdVT_GsfTrkIdT,24,27.2,27.2,"EGamma[0,1]",63919,0.03754752108136861
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,24,27.2,27.2,DisplacedJet,63919,0.03754752108136861
HLT_CaloMET350_NotCleaned,23,27.2,27.2,"JetMET[0,1]",63919,0.03598304103631158
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ,22,27.2,27.2,"EGamma[0,1]",63919,0.03441856099125456
HLT_ECALHT800,19,27.2,27.2,"EGamma[0,1]",63919,0.02972512085608348
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive,19,27.2,27.2,DisplacedJet,63919,0.02972512085608348
HLT_Ele15_IsoVVVL_PFHT450_PFMET50,17,27.2,27.2,"EGamma[0,1]",63919,0.02659616076596943
HLT_HT430_DelayedJet40_SingleDelay1p25nsTrackless,17,9.5,9.5,DisplacedJet,63919,0.02659616076596943
HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,16,27.2,27.2,DisplacedJet,63919,0.025031680720912403
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60,16,21.0,21.0,"JetMET[0,1]",63919,0.025031680720912403
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50,15,9.5,9.5,ParkingHH,63919,0.02346720067585538
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40_PNetBB0p06,15,21.0,21.0,"EGamma[0,1]",63919,0.02346720067585538
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p06,15,21.0,21.0,"EGamma[0,1]",63919,0.02346720067585538
HLT_Ele24_eta2p1_WPTight_Gsf_LooseDeepTauPFTauHPS30_eta2p1_CrossL1,15,27.2,27.2,"EGamma[0,1]",63919,0.02346720067585538
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose,13,27.2,27.2,DisplacedJet,63919,0.020338240585741327
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40_PNetBB0p10,13,21.0,21.0,"EGamma[0,1]",63919,0.020338240585741327
HLT_Ele50_IsoVVVL_PFHT450,13,27.2,27.2,"EGamma[0,1]",63919,0.020338240585741327
HLT_DoubleEle25_CaloIdL_MW,13,27.2,27.2,"EGamma[0,1]",63919,0.020338240585741327
HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,13,27.2,27.2,DisplacedJet,63919,0.020338240585741327
HLT_DoubleEle27_CaloIdL_MW,12,27.2,27.2,"EGamma[0,1]",63919,0.018773760540684303
HLT_Ele15_IsoVVVL_PFHT600,12,27.2,27.2,"EGamma[0,1]",63919,0.018773760540684303
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350,12,27.2,27.2,"EGamma[0,1]",63919,0.018773760540684303
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive,11,27.2,27.2,DisplacedJet,63919,0.01720928049562728
HLT_L1MET_DTClusterNoMB1S50,11,27.2,27.2,DisplacedJet,63919,0.01720928049562728
HLT_CaloMET60_DTClusterNoMB1S50,11,27.2,27.2,DisplacedJet,63919,0.01720928049562728
