Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_TriplePFJet,214,9.5,9.5,ParkingVBF[0-7],54677,0.3913894324853229
HLT_Diphoton22_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,198,27.2,27.2,"EGamma[0,1]",54677,0.362126671178009
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1,197,27.2,27.2,Tau,54677,0.3602977485963019
HLT_AK8PFJet420_MassSD30,195,27.2,27.2,"JetMET[0,1]",54677,0.3566399034328877
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,193,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.35298205826947343
HLT_PFHT700_PFMET85_PFMHT85_IDTight,188,27.2,27.2,"JetMET[0,1]",54677,0.34383744536093785
HLT_Diphoton24_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,180,27.2,27.2,"EGamma[0,1]",54677,0.3292060647072809
HLT_HT430_DelayedJet40_SingleDelay1To1p5nsInclusive,169,3.4,3.4,ParkingLLP,54677,0.3090879163085027
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p60,168,21.0,21.0,ParkingHH,54677,0.30725899372679555
HLT_PFHT400_FivePFJet_100_100_60_30_30_DoublePFBTagDeepJet_4p5,164,27.2,27.2,"JetMET[0,1], ParkingHH",54677,0.29994330339996705
HLT_Diphoton24_16_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,149,27.2,27.2,"EGamma[0,1]",54677,0.2725094646743603
HLT_PFHT800_PFMET75_PFMHT75_IDTight,148,27.2,27.2,"JetMET[0,1]",54677,0.27068054209265324
HLT_AK8PFJet450_MassSD30,148,27.2,27.2,"JetMET[0,1]",54677,0.27068054209265324
HLT_DoubleEle4_eta1p22_mMax6,146,2.8,2.8,ParkingDoubleElectronLowMass,54677,0.26702269692923897
HLT_HT430_DelayedJet40_SingleDelay1p1To1p6nsInclusive,137,3.4,3.4,ParkingLLP,54677,0.25056239369387495
HLT_PFHT280_QuadPFJet35_PNet2BTagMean0p60,134,21.0,21.0,ParkingHH,54677,0.2450756259487536
HLT_HT650_DisplacedDijet60_Inclusive,125,27.2,27.2,"DisplacedJet, ParkingLLP",54677,0.22861532271338955
HLT_AK8PFJet470_MassSD30,125,27.2,27.2,"JetMET[0,1]",54677,0.22861532271338955
HLT_DoubleEle4p5_eta1p22_mMax6,122,5.9,5.9,ParkingDoubleElectronLowMass,54677,0.2231285549682682
HLT_AK8PFJet500,119,27.2,27.2,"JetMET[0,1]",54677,0.21764178722314684
