https://cmshltinfo.app.cern.ch/summary,,,,,,
path (click to see more detail),act. lumi (fb-1),eff. lumi (fb-1),counts,first run,last run,dataset(s)
HLT_DoubleL2Mu23NoVtx_2Cha_NoL2Matched_v,0.09,0.09,,352494,355769,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_NoL2Matched_v,0.09,0.09,,352494,355769,DoubleMuon
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v,35.2,1.8,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v,35.2,1.8,,352494,362760,"DoubleMuon, Muon"
HLT_Mu8_TrkIsoVVL_v,35.2,0.0064,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_v,35.2,0.027,,352494,362760,"DoubleMuon, Muon"
HLT_TripleMu_12_10_5_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu8_v,35.2,0.0064,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_v,35.2,0.027,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_TripleMu_10_5_5_DZ_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu50_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleMu3_DZ_PFMET50_PFMHT60_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleMu3_DZ_PFMET70_PFMHT70_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleMu43NoFiltersNoVtx_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleMu48NoFiltersNoVtx_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu37_TkMu27_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v,35.2,1.8,,352494,362760,"DoubleMuon, Muon"
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v,35.2,1.8,,352494,362760,"DoubleMuon, Muon"
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu19_TrkIsoVVL_v,35.2,0.027,,352494,362760,"DoubleMuon, Muon"
HLT_Mu19_v,35.2,0.027,,352494,362760,"DoubleMuon, Muon"
HLT_Mu18_Mu9_SameSign_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu23NoVtx_2Cha_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu25NoVtx_2Cha_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_TripleMu_5_3_3_Mass3p8_DZ_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_TripleMu_5_3_3_Mass3p8_DCA_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu10NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL3Mu16_10NoVtx_DxyMin0p01cm_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu12NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v,35.1,35.1,,355862,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu14NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v,35.1,35.1,,355862,362760,"DoubleMuon, Muon"
HLT_DoubleL3Mu18_10NoVtx_DxyMin0p01cm_v,35.1,35.1,,355862,362760,"DoubleMuon, Muon"
HLT_DoubleL3Mu20_10NoVtx_DxyMin0p01cm_v,35.1,35.1,,355862,362760,"DoubleMuon, Muon"
HLT_DoubleL3dTksMu16_10NoVtx_DxyMin0p01cm_v,35.1,35.1,,355862,362760,"DoubleMuon, Muon"
HLT_L3dTksMu10_NoVtx_DxyMin0p01cm_v,35.1,0.035,,355862,362760,"DoubleMuon, Muon"
HLT_Mu7p5_Track2_Jpsi_v,0.09,0.00045,,352494,355769,DoubleMuonLowMass
HLT_Mu7p5_Track3p5_Jpsi_v,0.09,0.00045,,352494,355769,DoubleMuonLowMass
HLT_Mu7p5_Track7_Jpsi_v,0.09,0.00045,,352494,355769,DoubleMuonLowMass
HLT_Mu7p5_Track2_Upsilon_v,0.09,0.00045,,352494,355769,DoubleMuonLowMass
HLT_Mu7p5_Track3p5_Upsilon_v,0.09,0.00045,,352494,355769,DoubleMuonLowMass
HLT_Mu7p5_Track7_Upsilon_v,0.09,0.00045,,352494,355769,DoubleMuonLowMass
HLT_DoubleMu4_3_Bs_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu7p5_L2Mu2_Jpsi_v,35.2,0.023,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu7p5_L2Mu2_Upsilon_v,35.2,0.023,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu3_Trk_Tau3mu_v,35.2,1.8,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu20_TkMu0_Phi_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_LowMass_L1_0er1p5R_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_LowMass_L1_4R_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu4_Jpsi_Displaced_v,35.2,0.59,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu4_Jpsi_NoVertexing_v,35.2,0.15,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon10_PsiPrime_Barrel_Seagulls_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon20_Jpsi_Barrel_Seagulls_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon14_Phi_Barrel_Seagulls_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon18_PsiPrime_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon25_Jpsi_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Trimuon5_3p5_2_Upsilon_Muon_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu25_TkMu0_Onia_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu25_TkMu0_Phi_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Jpsi_L1_NoOS_v,35.2,0.023,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v,35.2,0.023,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Jpsi_v,35.2,0.0021,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Jpsi_NoVertexing_v,35.2,0.023,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v,35.2,0.12,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v,35.2,0.12,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Jpsi3p5_Muon2_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_L1_4p5_v,35.2,0.044,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_L1_5_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_L1_4p5NoOS_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v,35.2,0.44,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v,35.2,0.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_NoVertexing_v,35.2,0.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
